	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
215	Single Protein	MGYP003683041141		MGYP003683041141						21.77	23.2	52.98	14	13	4	4	18	17	Oxidation of M (M215, M225, M250, M253, M426)	Oxidation of M (5)			266.83635217215493	53.90819309990213	81.60152526215442	Confident
216	Related Proteins	MGYP003682999891		MGYP003682999891,MGYP003687998937	MGYP003687998937					7.24	12.06	64.61	6	3	1	1	6	3	Oxidation of M (M292)	Oxidation of M (1)			58.789900528875165	40.67015309686278	64.0	Doubtful
217	Related Proteins	MGYP003686185425		MGYP003686185425,MGYP003689799883	MGYP003689799883					6.73	6.73	87.5	1	1	1	1	1	1					54.26760048819247	21.99935217149892	73.36412625096229	Doubtful
218	Related Proteins	MGYP000131425462		MGYP000131425462,MGYP000213324614,MGYP001226088445,MGYP003343975401,MGYP003682529381,MGYP003684786431,MGYP003687323697,MGYP003687923229,MGYP003688556277	MGYP000213324614,MGYP001226088445,MGYP003343975401,MGYP003682529381,MGYP003684786431,MGYP003687323697,MGYP003687923229,MGYP003688556277					10.7	10.7	33.16	1	1	1	1	1	1	Oxidation of M (M171)	Oxidation of M (1)			57.090770455786284	21.07575088584229	73.36412625096229	Doubtful
219	Single Protein	MGYP003683025541		MGYP003683025541						23.72	26.16	72.37	9	8	1	1	9	8	Oxidation of M (M373, M387)	Oxidation of M (2)			212.97473399139685	44.70181167081975	73.36412625096229	Confident
220	Related Proteins	MGYP003682013139		MGYP003682013139,MGYP003683097013,MGYP003683293113,MGYP003684757797,MGYP003686736795	MGYP003683097013,MGYP003683293113,MGYP003684757797,MGYP003686736795					1.07	1.07	44.65	1	1	1	1	2	2					31.9118038411988	109.35903008682847	83.50202429149797	Doubtful
221	Single Protein	MGYP003684397525		MGYP003684397525						6.81	6.81	42.93	1	1	1	1	1	1	Oxidation of M (M25)	Oxidation of M (1)			87.40445388363742	18.85182655877798	64.0	Doubtful
222	Single Protein	MGYP000402393288		MGYP000402393288						8.8	8.8	78.01	2	2	2	2	2	2					62.709227230800174	36.1218987790722	81.60152526215442	Confident
223	Related Proteins	MGYP003682595727		MGYP003682595727,MGYP003682949019,MGYP003682956947,MGYP003689146693	MGYP003682949019,MGYP003682956947,MGYP003689146693					6.44	6.44	86.63	1	1	1	1	1	1					56.43830450772016	22.573566344998902	73.36412625096229	Doubtful
224	Related Proteins	MGYP003683147475		MGYP003683147475,MGYP003684245865,MGYP003686161927,MGYP003686257579,MGYP003686353223,MGYP003687811297	MGYP003684245865,MGYP003686161927,MGYP003686257579,MGYP003686353223,MGYP003687811297					12.22	12.22	67.21	3	3	1	1	3	3	Oxidation of M (M122, M124)	Oxidation of M (2)			66.58451655405187	54.1635356116292	73.36412625096229	Confident
225	Related Proteins	MGYP000148806892		MGYP000116020015,MGYP000148806892,MGYP000175341291,MGYP000406514421,MGYP000538037921,MGYP000611765216,MGYP000662226666,MGYP000857963045,MGYP001092629727,MGYP001242299022,MGYP001419352112,MGYP003111998886,MGYP003681988245,MGYP003682102245,MGYP003682214467,MGYP003682248367,MGYP003682272287,MGYP003682310307,MGYP003682340971,MGYP003682415795,MGYP003682527071,MGYP003682549207,MGYP003682627435,MGYP003682745731,MGYP003682975705,MGYP003682985297,MGYP003682998395,MGYP003683033021,MGYP003683056551,MGYP003683099053,MGYP003683100121,MGYP003683126165,MGYP003683227111,MGYP003683231969,MGYP003683234325,MGYP003683339865,MGYP003683366807,MGYP003683440515,MGYP003683451115,MGYP003683458469,MGYP003683465669,MGYP003683583261,MGYP003683668395,MGYP003683781669,MGYP003683802053,MGYP003683960347,MGYP003684021753,MGYP003684054947,MGYP003684119479,MGYP003684129225,MGYP003684136637,MGYP003684139045,MGYP003684147489,MGYP003684201031,MGYP003684201851,MGYP003684214119,MGYP003684226273,MGYP003684235949,MGYP003684321657,MGYP003684344341,MGYP003684362763,MGYP003684374855,MGYP003684459821,MGYP003684509591,MGYP003684558281,MGYP003684712991,MGYP003684773067,MGYP003685181627,MGYP003685207691,MGYP003685295571,MGYP003685404941,MGYP003685530615,MGYP003685588195,MGYP003685661613,MGYP003685687669,MGYP003685699813,MGYP003685700971,MGYP003685901153,MGYP003685958943,MGYP003685995043,MGYP003686001489,MGYP003686018685,MGYP003686210067,MGYP003686488069,MGYP003686587389,MGYP003686602971,MGYP003686643415,MGYP003686659637,MGYP003686713817,MGYP003686781919,MGYP003686816303,MGYP003686842913,MGYP003687033371,MGYP003687082009,MGYP003687179475,MGYP003687245447,MGYP003687270651,MGYP003687294547,MGYP003687307869,MGYP003687323289,MGYP003687349619,MGYP003687381271,MGYP003687399565,MGYP003687514927,MGYP003687557259,MGYP003687664409,MGYP003687872209,MGYP003687977233,MGYP003687987589,MGYP003687999593,MGYP003688002891,MGYP003688003865,MGYP003688157593,MGYP003688157979,MGYP003688190709,MGYP003688240423,MGYP003688385679,MGYP003688414181,MGYP003688417209,MGYP003688541359,MGYP003688575009,MGYP003688606195,MGYP003688612315,MGYP003688720893,MGYP003688736595,MGYP003688808755,MGYP003688877225,MGYP003688889039,MGYP003688922471,MGYP003688996731,MGYP003689075001,MGYP003689092921,MGYP003689097795,MGYP003689125135,MGYP003689206949,MGYP003689220387,MGYP003689360217,MGYP003689368515,MGYP003689431773,MGYP003689435037,MGYP003689466127,MGYP003689485781,MGYP003689552441,MGYP003689606663,MGYP003689630415,MGYP003689640625,MGYP003689643325,MGYP003689683109,MGYP003689761843,MGYP003689781913,MGYP003689787757,MGYP003689799779,MGYP003689837225,MGYP003689860339,MGYP003689861005,MGYP003690008979,MGYP003690051947,MGYP003690193695,MGYP003690229525,MGYP003690256979,MGYP003690307539,MGYP003690338725,MGYP003690378935,MGYP003690384795,MGYP003690447507,MGYP003690641961,MGYP003690651131,MGYP003690740625,MGYP003690787935,MGYP003690830755,MGYP003690833677,MGYP003691017245,MGYP003691124367,MGYP003691191705,MGYP003691203621,MGYP003691205411,MGYP003691260047,MGYP003691305687,MGYP003691337375,MGYP003691445227,MGYP003691529751,MGYP003691666879,MGYP003691681879,MGYP003691742543,MGYP003691743583,MGYP003691775241,MGYP003691908685,MGYP003691909761,MGYP003691925533,MGYP003692124443,MGYP003692269087,MGYP003692434233,MGYP003692474437,MGYP003692510981	MGYP000116020015,MGYP000175341291,MGYP000406514421,MGYP000538037921,MGYP000611765216,MGYP000662226666,MGYP000857963045,MGYP001092629727,MGYP001242299022,MGYP001419352112,MGYP003111998886,MGYP003681988245,MGYP003682102245,MGYP003682214467,MGYP003682248367,MGYP003682272287,MGYP003682310307,MGYP003682340971,MGYP003682415795,MGYP003682527071,MGYP003682549207,MGYP003682627435,MGYP003682745731,MGYP003682975705,MGYP003682985297,MGYP003682998395,MGYP003683033021,MGYP003683056551,MGYP003683099053,MGYP003683100121,MGYP003683126165,MGYP003683227111,MGYP003683231969,MGYP003683234325,MGYP003683339865,MGYP003683366807,MGYP003683440515,MGYP003683451115,MGYP003683458469,MGYP003683465669,MGYP003683583261,MGYP003683668395,MGYP003683781669,MGYP003683802053,MGYP003683960347,MGYP003684021753,MGYP003684054947,MGYP003684119479,MGYP003684129225,MGYP003684136637,MGYP003684139045,MGYP003684147489,MGYP003684201031,MGYP003684201851,MGYP003684214119,MGYP003684226273,MGYP003684235949,MGYP003684321657,MGYP003684344341,MGYP003684362763,MGYP003684374855,MGYP003684459821,MGYP003684509591,MGYP003684558281,MGYP003684712991,MGYP003684773067,MGYP003685181627,MGYP003685207691,MGYP003685295571,MGYP003685404941,MGYP003685530615,MGYP003685588195,MGYP003685661613,MGYP003685687669,MGYP003685699813,MGYP003685700971,MGYP003685901153,MGYP003685958943,MGYP003685995043,MGYP003686001489,MGYP003686018685,MGYP003686210067,MGYP003686488069,MGYP003686587389,MGYP003686602971,MGYP003686643415,MGYP003686659637,MGYP003686713817,MGYP003686781919,MGYP003686816303,MGYP003686842913,MGYP003687033371,MGYP003687082009,MGYP003687179475,MGYP003687245447,MGYP003687270651,MGYP003687294547,MGYP003687307869,MGYP003687323289,MGYP003687349619,MGYP003687381271,MGYP003687399565,MGYP003687514927,MGYP003687557259,MGYP003687664409,MGYP003687872209,MGYP003687977233,MGYP003687987589,MGYP003687999593,MGYP003688002891,MGYP003688003865,MGYP003688157593,MGYP003688157979,MGYP003688190709,MGYP003688240423,MGYP003688385679,MGYP003688414181,MGYP003688417209,MGYP003688541359,MGYP003688575009,MGYP003688606195,MGYP003688612315,MGYP003688720893,MGYP003688736595,MGYP003688808755,MGYP003688877225,MGYP003688889039,MGYP003688922471,MGYP003688996731,MGYP003689075001,MGYP003689092921,MGYP003689097795,MGYP003689125135,MGYP003689206949,MGYP003689220387,MGYP003689360217,MGYP003689368515,MGYP003689431773,MGYP003689435037,MGYP003689466127,MGYP003689485781,MGYP003689552441,MGYP003689606663,MGYP003689630415,MGYP003689640625,MGYP003689643325,MGYP003689683109,MGYP003689761843,MGYP003689781913,MGYP003689787757,MGYP003689799779,MGYP003689837225,MGYP003689860339,MGYP003689861005,MGYP003690008979,MGYP003690051947,MGYP003690193695,MGYP003690229525,MGYP003690256979,MGYP003690307539,MGYP003690338725,MGYP003690378935,MGYP003690384795,MGYP003690447507,MGYP003690641961,MGYP003690651131,MGYP003690740625,MGYP003690787935,MGYP003690830755,MGYP003690833677,MGYP003691017245,MGYP003691124367,MGYP003691191705,MGYP003691203621,MGYP003691205411,MGYP003691260047,MGYP003691305687,MGYP003691337375,MGYP003691445227,MGYP003691529751,MGYP003691666879,MGYP003691681879,MGYP003691742543,MGYP003691743583,MGYP003691775241,MGYP003691908685,MGYP003691909761,MGYP003691925533,MGYP003692124443,MGYP003692269087,MGYP003692434233,MGYP003692474437,MGYP003692510981					3.05	3.05	70.3	1	1	1	1	1	1					27.588556672768238	42.85679230045603	73.36412625096229	Doubtful
226	Single Protein	MGYP003684644841		MGYP003684644841						16.91	16.91	71.57	5	5	1	1	6	6					142.36689425370852	45.16046918412262	83.50202429149797	Confident
227	Single Protein	MGYP003683277041		MGYP003683277041						34.15	34.15	12.2	3	2	3	2	5	4	Oxidation of M (M17)	Oxidation of M (1)			500.0862424734698	8.794480069392542	83.50202429149797	Confident
228	Related Proteins	MGYP000107524849		MGYP000107524849,MGYP000466919796,MGYP000719094186	MGYP000466919796,MGYP000719094186					22.86	22.86	90.0	1	1	1	1	1	1					156.77306807700043	7.95599381009512	73.36412625096229	Doubtful
229	Related Proteins	MGYP000193000147		MGYP000193000147,MGYP000361084916,MGYP002041842609,MGYP003683640699,MGYP003684326179,MGYP003690783827,MGYP003691406501	MGYP000361084916,MGYP002041842609,MGYP003683640699,MGYP003684326179,MGYP003690783827,MGYP003691406501					16.0	16.0	88.0	1	1	1	1	1	1					149.6470195280459	8.65107978631031	73.36412625096229	Doubtful
230	Related Proteins	MGYP000096529239		MGYP000096529239,MGYP003682294693,MGYP003682625187,MGYP003686136905,MGYP003686944335,MGYP003688888183,MGYP003689586897,MGYP003689594123,MGYP003690352863	MGYP003682294693,MGYP003682625187,MGYP003686136905,MGYP003686944335,MGYP003688888183,MGYP003689586897,MGYP003689594123,MGYP003690352863					1.33	1.33	58.52	1	1	1	1	1	1	Oxidation of M (M383)	Oxidation of M (1)			16.433782510567433	90.78818424369359	73.36412625096229	Doubtful
231	Related Proteins	MGYP003682523201		MGYP003682523201,MGYP003683034053,MGYP003683780569,MGYP003684529077,MGYP003686791465,MGYP003687838451,MGYP003687941883,MGYP003688363749,MGYP003688509125,MGYP003688673105,MGYP003689006849,MGYP003690890433	MGYP003683034053,MGYP003683780569,MGYP003684529077,MGYP003686791465,MGYP003687838451,MGYP003687941883,MGYP003688363749,MGYP003688509125,MGYP003688673105,MGYP003689006849,MGYP003690890433					5.2	5.2	40.15	1	1	1	1	1	1					39.19326701925011	29.14583540671824	73.36412625096229	Doubtful
232	Related Proteins	MGYP003691897229		MGYP003684927705,MGYP003691897229	MGYP003684927705					48.65	48.65	94.59	1	1	1	1	4	0					0.0	3.76685776543741	64.0	Doubtful
233	Related Proteins	MGYP003681970797		MGYP003681970797,MGYP003682973333,MGYP003683170905,MGYP003683785165,MGYP003684164071	MGYP003682973333,MGYP003683170905,MGYP003683785165,MGYP003684164071					7.5	9.89	59.89	5	3	2	1	6	4					34.98242014941332	98.99465471479094	83.50202429149797	Confident
234	Single Protein	MGYP003684634369		MGYP003684634369						11.07	13.07	79.39	9	7	2	2	9	7	Oxidation of M (M812)	Oxidation of M (1)			90.49335474078165	93.88163713618862	81.60152526215442	Confident
235	Related Proteins	MGYP000102793995		MGYP000102793995,MGYP001470937963,MGYP002641592418,MGYP003682114465,MGYP003683366721,MGYP003684306047,MGYP003685753385	MGYP001470937963,MGYP002641592418,MGYP003682114465,MGYP003683366721,MGYP003684306047,MGYP003685753385					5.94	5.94	29.57	2	2	2	2	2	2					40.06776182089666	72.86789059671257	81.60152526215442	Doubtful
236	Single Protein	MGYP003684792533		MGYP003684792533						7.41	7.41	77.78	1	1	1	1	1	1					50.910841695108395	24.28367446700959	73.36412625096229	Doubtful
237	Related Proteins	MGYP000278209831		MGYP000278209831,MGYP003682358965,MGYP003682366923,MGYP003682922699,MGYP003683195535,MGYP003683225771,MGYP003683507749,MGYP003683794107,MGYP003684121975,MGYP003684295465,MGYP003684444585,MGYP003684606485,MGYP003685689481,MGYP003685787679,MGYP003685856369,MGYP003686086655,MGYP003686132891,MGYP003686699693,MGYP003686903389,MGYP003687464063,MGYP003687470687,MGYP003687489005,MGYP003687558423,MGYP003688480491,MGYP003688630919,MGYP003690247023	MGYP003682358965,MGYP003682366923,MGYP003682922699,MGYP003683195535,MGYP003683225771,MGYP003683507749,MGYP003683794107,MGYP003684121975,MGYP003684295465,MGYP003684444585,MGYP003684606485,MGYP003685689481,MGYP003685787679,MGYP003685856369,MGYP003686086655,MGYP003686132891,MGYP003686699693,MGYP003686903389,MGYP003687464063,MGYP003687470687,MGYP003687489005,MGYP003687558423,MGYP003688480491,MGYP003688630919,MGYP003690247023					2.1	3.78	59.66	2	1	2	1	2	1					22.194838851350625	50.83954001003039	64.0	Doubtful
238	Related Proteins	MGYP000346024998		MGYP000346024998,MGYP003682206951,MGYP003685087393	MGYP003682206951,MGYP003685087393					6.39	6.39	37.22	1	1	1	1	2	2	Oxidation of M (M60)	Oxidation of M (1)			58.269635922424946	38.47683581620557	64.0	Doubtful
239	Related Proteins	MGYP003684389759		MGYP003684389759,MGYP003685164375	MGYP003685164375					4.59	4.59	22.62	1	1	1	1	1	1	Oxidation of M (M284, M286, M289)	Oxidation of M (3)			33.824326331681604	32.11307457644345	73.36412625096229	Doubtful
240	Related Proteins	MGYP000697600996		MGYP000697600996,MGYP003682811781,MGYP003683786943,MGYP003683990879,MGYP003684269629,MGYP003684706587,MGYP003685242427,MGYP003685258193,MGYP003685528581,MGYP003685880665,MGYP003686075613,MGYP003686104285,MGYP003686165273,MGYP003686212291,MGYP003686261203,MGYP003686473131,MGYP003686514761,MGYP003686638329,MGYP003687027501,MGYP003687468817,MGYP003687823993,MGYP003688238169,MGYP003688430137,MGYP003688588533,MGYP003689021809,MGYP003689256541,MGYP003689347661,MGYP003689406005,MGYP003689882509,MGYP003689936475,MGYP003689944011,MGYP003689968923,MGYP003690442737,MGYP003690787329,MGYP003690845979,MGYP003690853429,MGYP003690918591,MGYP003691536539,MGYP003691558319,MGYP003692119161	MGYP003682811781,MGYP003683786943,MGYP003683990879,MGYP003684269629,MGYP003684706587,MGYP003685242427,MGYP003685258193,MGYP003685528581,MGYP003685880665,MGYP003686075613,MGYP003686104285,MGYP003686165273,MGYP003686212291,MGYP003686261203,MGYP003686473131,MGYP003686514761,MGYP003686638329,MGYP003687027501,MGYP003687468817,MGYP003687823993,MGYP003688238169,MGYP003688430137,MGYP003688588533,MGYP003689021809,MGYP003689256541,MGYP003689347661,MGYP003689406005,MGYP003689882509,MGYP003689936475,MGYP003689944011,MGYP003689968923,MGYP003690442737,MGYP003690787329,MGYP003690845979,MGYP003690853429,MGYP003690918591,MGYP003691536539,MGYP003691558319,MGYP003692119161					6.56	6.56	80.63	1	1	1	1	1	1	Oxidation of M (M50)	Oxidation of M (1)			34.7771242565177	35.10389590875454	73.36412625096229	Doubtful
241	Related Proteins	MGYP003685475427		MGYP003685475427,MGYP003690135901	MGYP003690135901					4.56	4.56	70.36	1	1	1	1	1	1					35.023770527840526	33.551130443757266	73.36412625096229	Doubtful
242	Single Protein	MGYP003683760411		MGYP003683760411						11.72	11.72	68.75	1	1	1	1	1	1	Oxidation of M (M78)	Oxidation of M (1)			85.88437642479155	14.79238845436065	73.36412625096229	Doubtful
243	Related Proteins	MGYP003681999161		MGYP003681999161,MGYP003683763149,MGYP003690169551	MGYP003683763149,MGYP003690169551					3.34	5.57	34.82	2	1	2	1	2	1					42.38928450150656	37.776469440332335	79.61783439490446	Doubtful
244	Related Proteins	MGYP003683632121		MGYP003683632121,MGYP003683784437,MGYP003684042833,MGYP003685248137,MGYP003685542271,MGYP003686648825,MGYP003686726145,MGYP003687380111,MGYP003687736117,MGYP003688524669,MGYP003689082857,MGYP003689225167,MGYP003689311857,MGYP003690963847,MGYP003690964573,MGYP003690974621	MGYP003683784437,MGYP003684042833,MGYP003685248137,MGYP003685542271,MGYP003686648825,MGYP003686726145,MGYP003687380111,MGYP003687736117,MGYP003688524669,MGYP003689082857,MGYP003689225167,MGYP003689311857,MGYP003690963847,MGYP003690964573,MGYP003690974621					8.24	8.24	58.79	1	1	1	1	1	1					60.223800541774565	20.08562945271851	73.36412625096229	Doubtful
245	Related Proteins	MGYP003682974987		MGYP003682974987,MGYP003689428235	MGYP003689428235					2.25	2.25	60.04	1	1	1	1	1	1					22.44705292920688	53.9128325972657	73.36412625096229	Doubtful
246	Related Proteins	MGYP000429652154		MGYP000429652154,MGYP000477283600,MGYP001338713186,MGYP003682140751,MGYP003682154649,MGYP003682672899,MGYP003682829727,MGYP003683079769,MGYP003683568279,MGYP003683861071,MGYP003683945833,MGYP003683970271,MGYP003684209653,MGYP003684237345,MGYP003684329373,MGYP003684366689,MGYP003684527587,MGYP003684530515,MGYP003684888071,MGYP003685303005,MGYP003685574425,MGYP003685643591,MGYP003685654063,MGYP003686063593,MGYP003686142719,MGYP003686221297,MGYP003686527223,MGYP003686652423,MGYP003686724771,MGYP003686846959,MGYP003687118301,MGYP003687265239,MGYP003687364203,MGYP003687469435,MGYP003687630039,MGYP003687702185,MGYP003687728307,MGYP003687930793,MGYP003688283417,MGYP003688291671,MGYP003688333881,MGYP003688359641,MGYP003688855083,MGYP003689182431,MGYP003689367857,MGYP003689408721,MGYP003689409715,MGYP003689664901,MGYP003689690587,MGYP003689913951,MGYP003689932637,MGYP003690019757,MGYP003690236605,MGYP003690379451,MGYP003690658607,MGYP003690946321,MGYP003691000047,MGYP003691171917,MGYP003691299219,MGYP003691393877,MGYP003691436041,MGYP003691473935,MGYP003691479109,MGYP003691520913,MGYP003691628089,MGYP003691678603,MGYP003691803065	MGYP000477283600,MGYP001338713186,MGYP003682140751,MGYP003682154649,MGYP003682672899,MGYP003682829727,MGYP003683079769,MGYP003683568279,MGYP003683861071,MGYP003683945833,MGYP003683970271,MGYP003684209653,MGYP003684237345,MGYP003684329373,MGYP003684366689,MGYP003684527587,MGYP003684530515,MGYP003684888071,MGYP003685303005,MGYP003685574425,MGYP003685643591,MGYP003685654063,MGYP003686063593,MGYP003686142719,MGYP003686221297,MGYP003686527223,MGYP003686652423,MGYP003686724771,MGYP003686846959,MGYP003687118301,MGYP003687265239,MGYP003687364203,MGYP003687469435,MGYP003687630039,MGYP003687702185,MGYP003687728307,MGYP003687930793,MGYP003688283417,MGYP003688291671,MGYP003688333881,MGYP003688359641,MGYP003688855083,MGYP003689182431,MGYP003689367857,MGYP003689408721,MGYP003689409715,MGYP003689664901,MGYP003689690587,MGYP003689913951,MGYP003689932637,MGYP003690019757,MGYP003690236605,MGYP003690379451,MGYP003690658607,MGYP003690946321,MGYP003691000047,MGYP003691171917,MGYP003691299219,MGYP003691393877,MGYP003691436041,MGYP003691473935,MGYP003691479109,MGYP003691520913,MGYP003691628089,MGYP003691678603,MGYP003691803065					3.59	3.59	76.05	1	1	1	1	1	1					33.708884944884055	35.68720038110748	73.36412625096229	Doubtful
